,content
100,we need to gear up to realise the dream of vision india 2047 by hon ble prime minister and embark upon city beautiful movement shri s mishra
101,the government of india and the asian infrastructure investment bank aiib signed 750 million covid 19 active response and expenditure support programme to assist india to strengthen its response to the adverse impacts of the covid 19 pandemic on poor and vulnerable households
102,as mentioned earlier inclusiveness and sustainability are integral to india approach to development
103,farmers will engage in direct marketing sale lease or mortgage of farmers land is totally prohibited
104,on its part ministry of msme has made relentless efforts including personal follow up and digital intervention for the purpose of assisting msmes of the country to get release of their dues from various procurers
105,the brics nations agreed to explore opportunities for strategic cooperation on energy storage technologies
106,two firms were empanelled for providing services of drones for spray of pesticides for locust control
107,the indian government is committed to reform perform and transform
108,azaadi ka amrit mahotsav was held on the occasion of the constitution day
109,this initiative will enhance the productivity through better information management in the institute by seamless access to information and its utilization for various purposes
110,a drought tolerant rice line cbmas14110 possessing two drought tolerant qtls qdty1 and qdty3 of apo was developed and nominated for evaluation under aicrip and state mlt
111,note5 release of the index for october 2020 will be on friday 27thnovember 2020
112,for procurement of some critical items teams of officers scientists and engineers are working 24
113,shri rupala highlights the need to strengthen cooperative movement in livestock sector
114,the union home minister said police personnel have to work relentlessly 24x7 on 365 days even during festivals
115,the approach of the government has led to minorities being equal partners with other communities in the educational socio economic development of the country
116,as regards pulses the total requirement for the three months was 5 lmt so far 5 lmt have been dispatched to states uts and 5 lmt distributed in the month of april 2020 pulses were given to 18 crore families in may 2020 18 crore families and in june 2020 to 14 crore families
117,young engineers need to play catalytic role in accelerating the wheels of progress
118,the minister launches the national standards for civil service training institutions india becomes the first country in the world to come out with such unique model the minister says the standards will equip central training institutions ctis to help civil servants tackle emerging challenges of 21st century mission karmayogi is aimed at building future ready civil service with the right attitude skills and knowledge aligned to the vision of new india dr jitendra singh
119,mayura runs company that provides support to disadvantaged sections of society
120,during today meeting it was decided that mcds and dda will step up their efforts to segregate their waste at source they will also discuss and settle all land related issues to facilitate the remediation process the dda was requested to explore opportunities to use less than 6 mm fractions of inerts as soil enricher in their horticulture and bio diversity parks the government of delhi will explore possibilities for considering the green cess funds for the project
121,dpsus have contributed 40 crores of their corporate social responsibility csr funds to prime minister citizen assistance and relief in emergency situations fund
122,text of pm address at vaishwikbhartiyavaigyanik vaibhav summit 2020
123,the department of earth sciences used to work in anonymity earlier but now it is being given more importance
124,the 6th iisf 2020 is being organized by council of scientific industrial research csir in collaboration with indian council of medical research icmr department of science and technology dst ministry of earth sciences moes department of biotechnology dbt and vijnana bharati vibha
125,more than 193 crore vaccine doses provided to states utsmore than 12 crore balance and unutilized vaccine doses still available with states uts
126,during the covid19 pandemic and vande bharat campaign when indians were coming back from around the world every cisf jawan at every airport with great humility and love welcomed fellow citizens many jawans of the force risked their lives and were infected and even lost their lives
127,a memorandum of understanding mou was also exchanged between prof ha pandya vice chancellor gujarat university and secretary department of defence d and chairman drdo dr satheesh reddy for establishing an advanced technology centre sardar vallabhbhai patel centre for cyber security research at gujarat university for conducting directed research in cyber security
128,livestock resources are an important means to sustain food demand and for sustaining local employment societies tend to protect animal health through its unique resource closest to its vicinity
129,the department of fisheries proposes to conduct two webinars on coldwater and konniskis credit card for fisheries campaign
130,nse ifsc clearing corporation limited and
131,india active caseload currently 3 81 947 lowest in 145 days
132,gadkari to lay foundation stone and inaugurate 11 highway projects worth nearly rs 4300 crore in uttar pradeshprojects to pave way for faster development with better connectivity
133,
134,139 shri basavaiah puttaswamy police inspector women police station chamarajanagar district karnataka 571313
135,thiagarajar polytechnic college wins the award in polytechnic category
136,pm to jointly inaugurate the second integrated check post at jogbani biratnagar
137,the states will further discuss the issue of protection of western ghats
138,the first census of water bodies in india has been launched
139,may this book trigger many conversations inspire more research and spark new innovations in urban planning
140,all political parties in jammu kashmir met today pm narendra modi said that the meeting is an important step for strengthening the democracy and the development and prosperity of jammu and kashmir
141,anand vihar terminal budgam delhi cantt delhi jn delhi sarai rohilla sealdah kolkata terminal bidhannagar road ballygang jn
142,water data of the department of water resources river development and ganga rejuvenation is regularly updated and uploaded on the dashboards available on the official website
143,shri goyal invited south korean entrepreneurs to invest in new sectors like defence commerce and retail
144,the government of india had launched the kisan rath mobile app on 17 to address the issue of transportation of agricultural produce of farmers and other stakeholders
145,a total of 1 48 54 136 vaccine doses have been administered till 7 am today
146,the state cabinet in nagaland approved plans to create special economic zone in ganeshnagar dimapur
147,the way society treats its elderly reflects its culture and ethos
148,mira bai chanu won silver medal in 49 kg weightlifting at the rio olympics
149,an filing system version 3 has been launched in april 2021 for the electronic filing of legal papers 235 sewa kendras are being rolled out to provide filing services online payment of court fees fines and penalties has been initiated 22 states have amended the court fees act
150,pinnacle mobility solutions private limited
151,india active caseload declines for the second consecutive day
152,indo german hydrogen task force is being established
153,ministries and states have introduced unified information capturing system and common registration form
154,the central water commission has awarded studies on impact of climate change on water resources to some of the premier educational institutes
155,ministry of education has announced the national education policy 2020 nep 2020 on 29 which has been made available at ministry of education website special features of nep 2020 includes
156,locust control operations have been done in more than 5 lakh hectares area in 10 states till now
157,india cumulative vaccination coverage crosses 173 croremore than 40 lakh vaccine doses administered today till 7 pm
158,the provisioning of mobile services in the remote and difficult uncovered areas of arunachal pradesh and two districts of assam will enhance digital connectivity useful for self reliance facilitate learning dissemination of information and knowledge skill upgradation and development disaster management governance initiatives establishment of enterprises and commerce facilities provision of adequate support to educational institutes for knowledge sharing and availability of job opportunities and fulfilling the vision of digital india promoting domestic manufacturing and fulfilling the objectives of atmanirbhar bharat
159,provisions related to disconnection reconnection meter replacement billing payment etc
160,active cases account for 1 of total cases lowest since march 2020
161,the rapid action force of crpf is specialized force of the crpf to maintain public order
162,the disinfection system called vajrakavach is significantly reducing the cost of combating the pandemic by making ppe medical and nonmedical gear reusable and reducing the generation of bio medical waste
163,invest india has launched platform to provide real time updates on india active response to covid 19 virus
164,dr harsh vardhan interacts with his social media followers through sunday samvad
165,powergrid is organizing vaccination camps for its employees and their family members to prevent the ebola virus
166,
167,the government must be the first buyer of aim to encourage and promote new technology start ups
168,india top thought leaders provide their vision and ideas on draft stip
169,the flood situation in assam is grave prime minister narendra modi has spoken to the chief minister of assam about it he has assured all possible support from the centre
170,the states utshave been asked to adoptthe following measures
171,rbi has reminded corporates to check whether they have joined the treds platform and are doing transactions
172,tata sky and airtel dth operators have agreed to air three swayam prabha dth channels on their platforms now these three sawayam pratha dtp channels are available through all dth service providers
173,mil items to be indigenised by dec 26
174,an inter governmental agreement on mutual cooperation in joint manufacturing of spares components aggregates and other material related to russian soviet origin arms and defence equipment was signed in september 2019
175,as the country is celebrating azadi ka amrit mahotsav the government is commemorating 75 years of progressive india and its glorious history of its people cultures and achievements recently india celebrated janjatiya gaurav diwas on the occasion of the birth anniversary of legendary tribal freedom fighter bhagwan birsa munda
176,the minister has called upon startups to help micro entrepreneurs in rural areas
177,northern railway umbrella works for provision of lte system on low density railway network in connection with tcas 20 lakh per km on 1563 km
178,the union government will supply 75 of the covid19 vaccine to states and uts
179,the low pressure area over east uttar pradesh adjoining bihar has become less marked the associated cyclonic circulation extends over east uttar pradesh and neighbourhood and extends upto 3 km above mean sea level
180,following is the category wise distribution of applications received
181,the monitoring of 477 glacial lakes water bodies having size greater than 50 ha in the indian himalayan region using satellite remote sensing has been completed for the year 2021
182,iv supply of laminated safety card with pictorial depictions of do and don ts related to lpg connection to every pmuy beneficiary at the time of releasing lpg connections
183,union minister for women and child development assures telangana of more one stop centers to support women facing gender based violence
184,further ntpc will be adhering to legal compliances with respect to biodiversity by complying with rules and regulations related to the environment forest wildlife coastal zone and green cover during planning and execution of its projects
185,
186,gujarat government has vaccinated more than 2 700 people yesterday the government has suspended the transport bus services with rajasthan for 15 days
187,minister of commerce industry engages with 12 state uts and reviews status of covid management including oxygen availability and usage
188,8 additional suc for spectrum sharing removed
189,more than 140 crore vaccine doses provided to states utsmore than 17 crore balance and unutilized vaccine doses still available with states uts
190,csir cmeri oxygen enrichment unit potential multifaceted life saver
191,says jigyasa student scientist connect programme will be completed in schools in over 700 districts of india within one year
192,the union cabinet has approved the memorandum of understanding mou signed between the ministry of housing and urban affairs government of india and department of foreign affairs and trade dfat and government of australia for technical cooperation in urban water management
193,shri bhagwanth khuba union minister of state for chemicals and fertilizers launches new grades of fertilizers
194,more than one crore air passengers have availed benefit of the udan scheme since its inception
195,the testing capacity across the country continues to be expanded
196,since the launch of startup india initiative 44 766 startups have been recognized by dpiit
197,the union government will supply 75 of the covid19 vaccines free of cost to states and uts
198,icar sugarcane breeding institute will implement the stc project in anamalai tiger reserve
199,at the end of deliberations the conference will adopt by consensus brief concise action oriented and inter governmentally agreed declaration focusing on and highlighting the science based and innovative areas of action to support the implementation of goal 14 and report containing the co chairs summaries of the interactive dialogues
200,shri nitin gadkari emphasizes on fixing driving hours for truck drivers of commercial vehicles calls for policy at par with european standards
201,motera stadium is all equipped with new decorations and modern facilities for the third test match between india and england
202,lifefas is smart phone based diagnostics company
203,president of india virtually confers the digital india awards 2020
204,53 crore total tests conducted so far
205,friends self reliance is important for the development of nation self reliant nations are better prepared for competition in the global supply chain realizing this many provisions have been made in the economic package
206,department of posts starts providing nps services through online mode
207,the country has set up network of 2500 labs and tested 21 crore tests from dozen tests
208,the book also has an additional interactive engaging quiz comprising set of 10 questions to enhance engagement of the readers and ensure janbhagidari of the citizens
209,the pli scheme on white goods aims to create complete component ecosystem for air conditioners and led lights industry in india
210,arinc818 video processing and switching module developed for the indian air force was handed over to the vice chief of air staff air marshal sandeep singh
211,gem will provide dashboards for functionaries at the national state district and block level government buyers will be sensitized about availability of shg products on the marketplace
212,5 e hugo javier gobbi argentine republic ambassador to the united states is retiring
213,pm condoles loss of lives due to road accident in mathura up
214,us se asian countries france australia
215,mtnl and bsnl were not allowed to upgrade technology in the past as result they lost market share and are burdened with debt of about 59 000 cr
216,brings them at par with central government employees
217,the sea phase of the 11th edition of milan concluded on mar 22
218,there are less than 1 lakh daily new cases reported for 20 continuous days now
219,skill development programs organized by accords
220,country two star archers kicked off pm unique school visit initiative in ranchi
221,the punjab regiment 22nd battalion the rashtriya rifles
222,national aefi adverse event following immunization committee submits report to the union health ministry
223,the following activities were under taken to promote india buddhist tradition internationally
224,trifed is engaged in the production and sale of tribal art and craft items
225,talcher fertiliser plant coal gasification based on high ash coal mixed with pet coke investment rs 13277 cr coal source 2 mt north of arkapal block in odisha
226,the board was informed by the supreme court of india that three judge bench will shortly take up the pension litigation pension on higher wages for adjudication
227,the prime minister has praised the performance of aspirational districts in the last 4 years
228,there are 335 vacancies for girl candidates in 33 sainik schools for the academic session 2022 23
229,slnp results in an estimate annual saving of 8 billion units equivalent to rs 6800 crore
230,government of india have taken the following steps to reduce the cost of power generation and resultant reduction in cost of electricity to consumers
231,the spin scheme aimed at infusing self sustainability in the indian pottery sector is similar to the kvic kumhar sashaktikaran yojana it allows registered potters to get direct loans from banks
232,it has to ensure safe conduct of important events including republic day and independence day and take care of everything including security of foreign guests
233,the national education policy 2020 nep 2020 has been introduced after 34 years
234,sail has been witnessing an impressive sales performance since the end of covid 19 lockdown the company domestic sales and exports have grown by 23 and 250 respectively this has helped the company in reducing its debts
235,gawahati 10 57 am 12 45 pm 2 24 pm 84
236,there were 2 47 417 new cases of hiv aids in the last 24 hours
237,union ministry of health family welfare has been in regular interaction with the states uts to seek continued support in terms of strict and persistent implementation of 5 fold strategy test track treat covid appropriate behaviour vaccinate against covid 19
238,the jrc report of 2020 states that the fish stock status fss and fish caught by trawling fgt are negatively correlated with the policy objective of ecosystem vitality
239,as long as you are there your courage and enthusiasm is there and your sacrifice is there the country will continue to light up on diwali
240,this month mann ki baat will take place on the 31st
241,the prime minister wants india to be among the top 3 countries in the sectors like constructions start ups drones space and geo spatial data he wants financial sector to support these sectors
242,the function will be held in the presence of smt anjali bhawara secretary ministry of social justice empowerment dr prabodh seth and senior officers from alimco and district administration mumbai will be present
243,india has the potential to be content hub and post production hub
244,construction of aizawl by pass on western side
245,the details of loans amounting to 3 119 crore have been released to the beneficiaries by the lending institutions
246,india active caseload further declines to 7 29 243
247,for more details kindly click the link
248,the commission has maintained reserve list for the combined geo scientist examination 2021
249,list of operated cooperative mills during 2019 20 and 2020 21 sugar season
250,countrywide ayush covid 19 counselling helpline is now operational
251,shri tomar the district head of morena district has informed that nafed has created farmer producer organization of honey
252,india is taking initiatives to become global leader in space science and technology
253,pm inaugurates and lays the foundation of multiple projects in varanasi
254,to advise the central and state governments for effective implementation of the provisions of this act
255,social physical and economic security for fishers and fish farmers
256,inaugurates new rail lines and electrification projects in bihar for the benefit of passengerspm lauds railways for working tirelessly during covid timeslauds railways for achievements in electrification cleanliness initiatives introduction of kisan rail and for elimination of unmanned rail crossingsfarmers have been liberated by the agricultural reforms bill pm
257,based on the advisories quarantine centre the gram panchayat school was set up by gram panchayat
258,icsi focus is expanding from corporate governance to national governance its model codes of governance of gram panchayat and charity governance have been translated into 12 regional languages
259,
260,india active caseload 3 68 558 is 1 of total cases
261,upto 26 the government through its nodal agencies has procured 3 01 581 mt of moong urad toor groundnut pods and soyabean having msp value of rs 1622 crores benefitting1 62 352 farmers in tamil nadu karnataka maharashtra gujarat haryana and rajasthan
262,the minister of state health and family welfare ashwini kumar choubey stated this in written reply in the lok sabha
263,dr jitendra singh said that india is an evolving society and it is important to take people along in every decision for their larger benefit
264,the success stories in these villages of punjab speak volume of the role of community participation in successful implementation of government programmes
265,the vaccination exercise as tool to protect the most vulnerable population groups in the country from covid 19 continues to be regularly reviewed and monitored at the highest level
266,this information was given by raksha rajya mantri shri shripad naik in written reply to shri rajeshbhai chudasama in lok sabha today
267,the stressed advances ratio of scbs increased to 8 at end september 2021 due to covid 19 related dispensations moratoriums
268,1 89 232 patients recovered during last 24 hours
269,shri naidu has called for greater attention to wash facilities in both rural and urban areas
270,friends the people of up have entrusted responsibility to their sevak by bringing government back to power after 37 years
271,the campaign aimed at promoting sbmg phase ii activities will increase awareness about odf plus activities
272,the first two years of schooling in tribal areas should be in their local language
273,mohua approves proposals worth 28 crores submitted by the ut for remediating 7 lakh mt of waste in daddumajra dumpsite
274,smt krishnaveni senior intelligence officer directorate of revenue intelligence bengaluru zonal unit
275,union minister shri piyush goyal interacts with non official directors nods of cpse under his ministries says nods are an important link between the government and the people
276,neolync tele communications pvt ltd is engaged in telecommunication business
277,as of 15th march 2021 total of 3 crore beneficiaries health care workers front line workers persons aged 60 years or more and those between 45 59 years with comorbidities are registered on co win 2 portal
278,
279,the training programme was inaugurated by shri rajesh aggarwal secretary msde in the presence of ms anuradha vemuri joint secretary msde shri atul kumar tiwari additional secretary msde ms prabha sharma under secretary msde and shri tahsin zahid ceo sports physical education fitness leisure skills council spefl sc
280,the sending state governments have to screen the passengers before they send them by train or bus
281,psus under ministry of power national thermal power corporation and nhpc limited celebrated the 7th international day of yoga
282,state wise details of loan amount disbursed under pm svanidhi scheme as on 17 09 2020
283,there is possibility of heavy to very heavy rainfall over south tamilnadu puducherry and karaikalda during next 24 hours
284,the government will identify and promote 75 innovative start ups in the 75th year of india independence
285,first oxygen expresses for dehradun and pune reach yesterday night with 120 mt 55 mt of medical oxygen respectively
286,the epos devices at fpss and aadhaar seeding of beneficiaries for biometric aadhaar authentication are the main enablers of this system
287,i appreciate the services of all police forces in maintaining law and order and protecting the country from internal threats
288,during 2020 21 khadi products valued at rs 50 crores were supplied by kvic to various government ministries departments
289,first of its kind fly off event to demonstrate use of uavs drones for transport of lakadong turmeric happens in west jaintia hills meghalaya the initiative to serve as model to the nation for addressing connectivity issues lakadong turmeric from west jaintia hills meghalaya with the highest curcumin content of 7 9 becoming game changer for the district economy
290,the squadron is commanded by cdr avinash kumar sharma who is highly proficient and experienced pilot qualified on chetak uh 3h and alh helicopters with more than 2300 hrs of flying and over 17 years of distinguished service
291,the prime minister had virtual meetings with 3 teams working on developing and manufacturing vaccine for covid 19 pm asked them to come up with their suggestions and ideas regarding the regulatory processes and related matters
292,cea has issued revised coal stocking norms cea has advised power plants to import about 36 mt of coal for blending during 2022 23
293,the objectives of mofpi and dahd are interlinked and complementary they work together to achieve the goal for income generation for sustainable development of the rural poor
294,india reports 1 lakh daily new cases lowest in two months
295,a small contingent of mahila personnel are undergoing basic foundation course of 30 days they will undergo 12 weeks pre induction cobra training the final induction of mahilas will be made after successful completion of pre induction training
296,movement will be by parcel trains point to point depending upon demand and small space may also be provided in parcel trains planned for running from mumbai and kolkata through secr route
297,scheme for taxation of virtual digital assets
298,shri narendra modi has created new culture where the foundation of project is laid by his government and the inauguration is also done by his government
299,inaugurated the india pavillion at 70th berlinale film festival
300,president confers shaurya chakra on wing commander varun singh 27987 flying pilot
301,some students may attend online classes rather than physically attend school
302,for more details dr suvendu rakshit suvendu aries res in can be contacted
303,more than 192 crore vaccine doses provided to states utsmore than 20 crore balance and unutilized vaccine doses still available with states uts
304,the project to connect morh tunnel and zozila tunnel has been approved
305,dadra and nagar haveli daman diu ut
306,d pmksy har khet ko pani repair renovation and restoration of water bodies
307,eradication of open defecation in all statutory towns
308,the festival will begin on 24th january 2021 with the india premier of the historical drama wife of spy by kiyoshi kurosawa
309,the government flagship programmes have the potential to generate productive employment opportunities
310,the director of movie is against religion
311,rainfall over all india in february was the lowest since 1901
312,broad framework of qualifications with consistency across programmes national higher education qualifications framework nheqf
313,the union cabinet has approved the central sector scheme for food processing industry it will support indian brands of food products in the international markets with an outlay of rs 10900 crore
314,the culture ministry and the government of gujarat are planning to develop gandhi heritage sites across the country
315,the bardoli satyagraha was part of the civil disobedience movement
316,smt mahajan is chairing the conference on rural water supply and sanitation
317,brushing teeth flossing and washing the mouth are important for good dental health says dr neeta
318,southwest monsoon has further advanced into some more parts of west central north bay of bengal today
319,cisf is an armed force of the union of india which protects the vital installations of national monuments
320,exploring value added products such as indian curry powder and mouth freshener imbued by coriander were suggested as way forward to increase coriander usages both in domestic as well as export market
321,aspirational districts are eliminating the barriers of the progress of the country the country is witnessing silent revolution in the form of digital india
322,this information was given by minister of ayush shri sarbananda sonowal in written reply in lok sabha today
323,ramp programme through enhanced collaboration with states will be job enabler market promoter finance facilitator and will support vulnerable sections and greening initiatives
324,this information was given by the union minister for minority affairs shri mukhtar abbas naqvi in written reply in the lok sabha today
325,the president has said that the government has taken many policy decisions and opened up several new sectors so that the youth can benefit from rapidly changing technology
326,today the prime minister of pakistan celebrates 75 years of independence
327,priority to be given to the state governments ut administrations for supporting the projects under the scheme of ipsrc through registered societies panchayati raj institutions pris local bodies in the vicinity of hospitals as far as possible
328,the chairman of kvic received an electric potter wheel from potter mushtaq
329,the jute industry is important in the national economy of india it is one of the major industries in the eastern region
330,this information was given by the minister of state for electronics information technology shri rajeev chandrasekhar in written reply to question in lok sabha today
331,collaboration with foreign companies under atmanirbhar bharat
332,as many as six pro kabaddi league teams have sent their talent scouts here hoping to discover unpolished gems who could eventually turn their own fortunes in the league
333,padma vibhushan sir anerood jugnauth the architect of modern mauritius was proud pravasi bharatiya condolences to his family and the people of mauritius
334,niti aayog has set up project monitoring unit to assist the districts in formulating projects to address critical gaps
335,finance minister nirmala sitharaman reviews implementation of aatma nirbhar bharat package
336,locations for dry run scheduled on 2nd january 2021
337,strengthening of linkages between rural urban economies serving more than 2 million commuters
338,ministry of tribal affairs hosted webinar today for sensitization of mps from st constituencies on going online as leaders goal project
339,the number of new deaths in india reached 1 094 in 2016
340,over the years thanks to the untiring efforts of our scientists india has achieved remarkable progress in various areas from achieving self sufficiency in food production because of green revolution to making spectacular strides in space exploration
341,84 825 recoveries in the last 24 hours increases total recoveries to 3 47 15 361
342,dealing with individual differences emotional behavioural problems of students as mentor
343,there has been satisfactory progress of sowing area coverage under kharif crops the total kharif crops have been sown on 1015 ha area as on 14 as compared to 935 ha area during the same period last year
344,the cepa is fair comprehensive and equitable partnership agreement that will give enhanced market access for india in both goods and services
345,a solar eclipse is when the moon blocks the solar disk partially or completely it is the rarest of the solar eclipses
